name,date,content,share,retweet,like,,,,,,
 sekaikuvarika,2021年1月1日,"#Covid Hearing of too many deaths. No science or medicine authority here but lets home therapies that boost our immune system or aid our respiratory system. While we protect ourselves lets fortify please.
#Steaming/kunatira
# Concoctions -ginger  garlic, lemon, moringa, zumbani",1,5,15,,,,,,
 VHansenSCRadio,2021年1月1日,"3,234 new #Covid cases reported by 
 scdhec
 this #NewYear2021  eve with  31.2 percent testing positive. Please be safe tonight everyone. 
 SCPublicRadio
 
 SCETV",1,3,3,,,,,,
 DuggerDigs,2021年1月1日,"Cases climb back to 9,632 in Ohio. This is more than the state just catching up. I was expecting a post-Christmas spike starting about a week after. Hospital patients fell again. Those numbers usually begin to climb two weeks after a holiday. #ohio #COVID19 #covid #coronavirus",3,3,4,,,,,,
 DrDooleyMD,2021年1月1日,"#medtwittter still waiting for #Covid vaccine, some smaller hospitals & nursing facilities are wasting doses b/c they had extra.  We got a call from one.

May be worth calling administration at some local facilities to let them know you’d be interested if they have extra doses!",5,14,65,,,,,,
 FlorenceSSG,2021年1月1日,"Has anyone considered that #covid could just wipe us all out? The end of humankind. Or that the world could close off to the #UK due to our recklessness & we become a barren lawless land of plague? It feels worryingly possible at this stage.
#Covid19UK #coronavirus #PlagueIsland",1,1,5,,,,,,
 JenPalmaGlobal,2021年1月1日,"There will be no free transit for New Year's Eve. 
 TransLink
  suspended it because of #COVID-19 restrictions on social gatherings and events. Service will be running on weekday schedules, there will be no extended hours. 
 GlobalBC",2,1,8,,,,,,
 AndrewNoymer,2021年1月1日,"The acid test of how well it's going in China will be the extent (or not) of Lunar New Year celebrations, in about six weeks' time. #covid",1,2,15,,,,,,
 jkishore,2021年1月1日,"The catastrophic roll-out of the #covid vaccine is only further proof of the criminal level of indifference and incompetence of the ruling class.

It is as if the oligarchy set out to prove in 2020 that its own system, capitalism, is historically bankrupt and deserves to perish.",3,23,48,,,,,,
 AmyLEngland,2021年1月1日,"I don’t know if I would wanna be 
 RodPhillips01
 right now.  Not only has he been called out, shamed and forced to resign.  He now has no choice but to sit in quarantine for two weeks hoping he doesn’t have #covid.",1,1,3,,,,,,
 j_bindra,2021年1月1日,"Here's wishing the #coronavirus a stationary and immobile New Year.
May you not go forth and multiply, may your proteins be unspiked, and may you encounter litres of soapy water wherever you go.
May you be at rest this year.
Amen
#Covid #HappyNewYear2021 #GoodBye2020",1,2,7,,,,,,
 mishacollins,2021年1月1日,"A lot of you have been asking me to recap this past year, but due to #COVID-related restrictions, my ""2020: Year in Review"" release date has been pushed back to 2022. 

#HappyNewYearsEve",614,791,12000,,,,,,
 sarahblyth,2021年1月1日,If anyone wants to see the new OPS today before we open tomorrow let me know would be happy to show ppl around in a #covid safe manner.,3,9,42,,,,,,
 KimKalunian,2021年1月1日,"Chatting with Dr. McDonald from 
 RIHEALTH
 this afternoon. What’re your #COVID questions?",20,2,7,,,,,,
 Jwebb412,2021年1月1日,"Positive NHS stories. A thread: During what is a really challenging time (again, thanks Covid) for the NHS, this week there have been some very uplifting moments from the covid ward that need sharing for the three people who might read this #nhspositivity #NHS #covid",4,5,19,,,,,,
#REF!,2021年1月1日,"363 #Covid cases today in #AnneArundel
It’s the highest one day total and a sober ending to 2020.

364 #Covid deaths this year
It’s the third leading cause of death in our county.",2,3,6,,,,,,
 MarcusStead,2021年1月1日,"Please be sensible this evening. Have a quiet one with just your household, put the telly on, put some music on, raise a glass at midnight & go to bed. There'll be other New Year's Eves where we can party the night away in big crowds. But for now, let's do our bit to beat #Covid",2,2,6,,,,,,
 jagore,2021年1月1日,Kirk Cameron holding a gathering on the beaches of LA and hoping “hundreds of people” join is a slap in the face of every single healthcare worker fighting every minute for their #COVID patients. LA is the epicenter for COVID now and we are out of ICU beds.,1,,1,,,,,,
 JaneHillNews,2021年1月1日,"So I’ve just listened to The Reunion, the extremely moving edition about #Covid, with 
 KirstyWark
 followed seamlessly by 
 janegarvey1
 ‘s final #WomansHour . And now I’m in bits. I’m definitely having a glass or two tonight. #HappyNewYear to all. 
 BBCRadio4
 
 BBCSounds",7,5,150,,,,,,
 martiningram,2021年1月1日,"964 UK #covid related deaths recorded in the past 24 hours. Please everyone, stay at home tonight and don't mix households etc. 
I'm fearful for what January may bring.",2,3,16,,,,,,
 himantabiswa,2021年1月1日,"Sad to share the demise of two #COVID patients today~ Late Manoj Chutia (38) of Dhemaji and Late Shima Rani Das (58) of Cachar. 

Condolences & Prayers. 

Om Shanti",23,27,494,,,,,,
 RezaNasri1,2021年1月1日,"You're at 343,000 deaths. Fight #COVID, not Iran!",7,32,321,,,,,,
 thefourthvine,2021年1月1日,Do you think decades from now we’ll still be having forget-my-mask anxiety dreams? #covid,6,2,41,,,,,,
 iamcornishpasty,2021年1月1日,"Imagine, if at the stroke of midnight tonight, the clock reset to Jan 1st 2020 & you were the only one that knew what was to come. 
Would you speak out & would we listen, or would we just think you were nuts? 
#NewYearsEve #Covid",7,1,14,,,,,,
 NickTorfaen,2021年1月1日,"Happy New Year to all! After such a tough 2020, here’s hoping for a better 2021! Thank you all to those working over the New Year to keep people safe and help others, and, tonight, let’s think of all our frontline workers who have been an inspiration throughout this #Covid crisis",1,5,56,,,,,,
 Markstacey13,2021年1月1日,"2020 was a slag
She fucked the NHS
She fucked the airlines
She fucked retail
She fucked manufacturing 
She fucked the old
She fucked the young
She fucked the vulnerable 
She fucked us all and left us with a dose like no other #covid #fuckyou2020 
Happy new year peeps ",2,1,14,,,,,,
 GMartyn_Lewis,2021年1月1日,"Massive congrats Darren 
 SONA_CSO
 & 
 SonaNanotech
 on getting EU approval for your rapid test. 

HC must follow otherwise very embarrassing for them. 

Saliva test still to come, things  

HNY all. 2021 will be great recovery Yr 

#NovaScotiaWelsh #Sona #Covid #COVIDCanada",2,9,36,,,,,,
 SaxMike71,2021年1月1日,"A little about community spread:

I just found out yesterday that a friend of mine and his wife, and possibly her son, have #COVID because her religious, churchgoing ex was having symptoms and didn’t tell anyone when they met for a Christmas get-together.

1.",4,1,7,,,,,,
 aalkermd,2021年1月1日,"Some people won’t take #COVID seriously until they know someone who has died from it. And sometimes even that's not enough People with family members in the ICU still refuse to admit the virus is real.

It’s exhausting.",1,2,13,,,,,,
 almaforarizona,2021年1月1日,"My Dad is 72 with many health issues and uses oxygen. Last year he was in the ICU on a ventilator, and he hasn't left the house since March. It sucks I always feel bad telling him I am not sure when he will get the vaccine,so to those getting it and acting a fool, STOP IT! #covid",3,2,71,,,,,,
 AlexBerenson,2021年1月1日,"A look at the details of the 
 moderna_tx
 trial explains why - more on that later today. Let’s just say you might be surprised how the company defined a severe case pf #Covid.",14,52,334,,,,,,
 scottljacobsen,2021年1月1日,It is a short step from saying #nonessential worker to nonessential person. How did our leaders come to think this was within their authority? #Covid #HamOnt,1,1,5,,,,,,
 CitizeNonymous,2021年1月1日,"**UPDATE**
#COVID restrictions were spoken of on parade today & the takeaways were:
(1)No one is compelled to provide their ID via any ‘COVID Act’.
(2)If a cop tries to obtain ID via an obstruction charge - they’ll have some explaining to do.
(3)No door kicking to write tickets.",6,27,62,,,,,,
 raelt,2021年1月1日,"#Covid research has been remarkable in such a short period of time. Consider #AIDS by Comparison 

 1981 1st #AIDS cases
 1984 Discover HTLV-III cause #AIDS
 1985 1st Commercial #HIV antibody test
 1986 HTLV-Named #HIV Human Immunodeficiency Virus 
 2020 No Vaccine",1,2,12,,,,,,
 and_kell,2021年1月1日,"My son got a little #covid care package from his #medicaid provider in the mail yesterday. A very small bottle of hand sanitizer, a package of sanitizing wipes & 2 very small cloth masks made in Vietnam. He also got an $11 raise in his  SS check for 2021. Raking it in! #autism",3,,34,,,,,,
 JoeKaeser,2020年12月31日,"A remarkable year ends. Severe crisis and big opportunities went along closely. My utmost respect is with the ones who‘ve helped people along: medically, societally and professionally. There will be a world after #COVID-19. Let’s work together closely and make it a better one.",15,24,324,,,,,,
 AsmatullahNiazi,2020年12月31日,"#GoodBye2020 you deprived us of many good friends, relatives and loved one.. Hope year #NewYear2021 bring happiness, prosperity besides healthy and #Covid free life...",4,1,13,,,,,,
 Sunithaspeaks,2020年12月31日,"#Covid #vaccination #dryrun to be done on January 2, in select 5 districts in #Karnataka. #Bengaluru, #Mysuru, #Kalaburagi, #Belagavi, #Shivamogga are chosen. To check end-to-end vaccination process except actual vaccination. 
#COVID19karnataka #COVIDVaccination 
 TOIBengaluru",1,7,15,,,,,,
,,,,,,,,,,,
 PaulaCobia,2020年12月31日,"At current Operation Warp Speed vaccinations, it will take 10 years to vaccinate the U.S.

Bring on the Biden Administration, stat.
#COVID19 
#Covid 
#NewYear2021",3,9,15,,,,,,
 Minuteman04,2020年12月31日,"With #COVID, #TrumpTariffs and an ugly election, 2020 pretty much sucked. How do you feel going into 2021. Comments very welcome and please RT to get a broad sample.",,,,,,,,,
 ushukrik,2020年12月31日,"I am delighted to announce that my new book on the #US #EnergyDiplomacy, will be out soon. It explains key developments, such as #COVID-19  and #energy market, maximum pressure campaign, US-#China Trade War, #Oil Price War,#OPEC ... #OOTT 
 SpringerNature",3,7,46,,,,,,
 AlisonWSB,2020年12月31日,"#Falcons announce they will work virtually today, due to one  positive #COVID19  test from a member of the Falcons. Contact tracing protocols have commenced. It does not affect the status of Sunday’s game. #Covid #RiseUpATL",1,6,15,,,,,,
 onlyonenetra,2020年12月31日,"Calling all people who have returned from UK in last 2months, please report to nearest govt hospital and get yourself tested for new #Covid strain. Please isolate yourself till then. Don't hide, this is for your family's sake only. Don't behave like Tabligis then. Please",9,41,107,,,,,,
 FrancesMair,2020年12月31日,"Genuine question - why aren’t we using the military, every potential vaccinator in the land to vaccinate 24/7 including holidays ? #Covid-19 #vaccination - has been done in the past and currently being done in other countries....",2,5,21,,,,,,
 upcoprahul,2020年12月31日,"And the award for the most popular drink of 2020 goes to 
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.

काढा 

#Covid19  #Covid",2,5,36,,,,,,
 nisheethsharan,2020年12月31日,"Best thing 2020 delivered?
Return of 
 BJP4MP
  
 ChouhanShivraj
 to govt in MP.

Worst thing 2020 delivered?
Of course #Covid 

Best outcome of the worst?
Covid resultant reboot of global human behavior.

#2021 goals
Get down to writing my book.
Live & farm on the banks of Narmada.",3,8,48,,,,,,
 dawalelo,2020年12月31日,2020 has been a watershed moment for health reporters. It came like a tsunami and engulfed days spent not only working on stories but deciphering the beast which is #covid - here is the list of some meaningful stories I got to work on during the year.,2,3,25,,,,,,
 DoctorJanette,2020年12月31日,"Today, I’m getting my #COVID19 vaccine LIVE, on-air! Plus, I’ll discuss a study on how #COVID can trigger brain damage - Tune in at 10:25am ET on 
 AmericaNewsroom
 
 FoxNews
 w/ 
 SandraSmithFox
 !",15,9,65,,,,,,
 jensstoltenberg,2020年12月31日,"Throughout this challenging year,  #NATO Allies have stood together to keep our people safe. The start of the #COVID-19 vaccinations brings us hope for 2021. Wishing you all the best for a healthy and peaceful New Year!",27,82,355,,,,,,
 iktibarikhlas,2020年12月31日,"bye-bye #covid year 
please don’t come back 

welcome #2021makeawish",1,2,,,,,,,
 petertimmins3,2020年12月31日,"I see Johnson's father is applying for French citizenship. 

Quite frankly, with him flaunting all the UK #Covid safety measures, we don't want him over here in France. You can keep him.",11,21,104,,,,,,
 Halima_Begum,2020年12月31日,"Every time a Gov minister cites ""support from the military"" as a reason a policy will work, (#GavinWilliamson today on #teachers having to mass-test pupils for #Covid before the ""safe"" opening of schools), you just know we're a whisker away from utter chaos, if not already there.",1,6,32,,,,,,
 alicewoolley1,2020年12月31日,So my mum has had her first dose of pfizer-bioNTech #covid vaccine. The best news of 2020 - on the very last day ,7,1,107,,,,,,
 KaythaNurse,2020年12月31日,"Idk who needs to hear this but after midnight tonight, #Covid will still be an issue in 2021.",3,4,37,,,,,,
 thosethatcan,2020年12月31日,"Tweeting this again as responses were minimal. Surely this data must exist?

School staff and Covid. #CovidSchools
Looking for data on the numbers of school staff contracting #Covid compared to the general population


 educationgovuk

 

 NEUnion

 

 ASCL_UK

 

 NAHTnews

 #edutwitter",8,9,12,,,,,,
 ross_moy,2020年12月31日,"A #COVID thread, I fear.

I'll be in 
 OxfordEmergeMed
  tonight. Normally, I'd expect on Hogmanay to be full of drunks in fancy dress, and generally fairly good natured. This evening will be different, and to be honest, I'm dreading it.",10,7,79,,,,,,
 katiebarnfield,2020年12月31日,Are you a parent or primary teacher from one of London's boroughs where schools are opening next week (e.g. Greenwich and Haringey) worried or confused about the decision? Are you available for an interview today for ITV London? My DMs are open #schools #Covid,3,17,10,,,,,,
 JakeOKane,2020年12月31日,"Peter Weir, an education minister in need of an education.  It's not easy to reach his level of dithering vacillation.  He must have a crick in his neck looking over his shoulder to see what the UK does before making a decision. #Covid",14,24,364,,,,,,
 StuartJones,2020年12月31日,"I have just formed a new limited company with a share capital of £1 and a registered office in a shipping container on an industrial park. I have no experience of distribution. Please 
 nadhimzahawi
 may I have a contract to distribute the #covid vaccine? #torysleaze",1,2,9,,,,,,
 Jan_Leeming,2020年12月31日,#Covid Could any one enlighten me as to the difference between #Tier4 and #Lockdown - they appear to be the  same restrictions.,11,1,20,,,,,,
 siobhni,2020年12月31日,It really is just a merry-go-round of getting riled up and proactive and then sitting back down on the couch  and feeling helpless. #covid,13,26,696,,,,,,
 D0wn_Under,2020年12月31日,"Every single day that you’re locked-down in your own house for #Covid is a day of your LIFE that the government is stealing from you.
And yes, it saves lives, but so does banning us from driving because we might hit someone and kill them.
We can’t hide from life forever.",2,1,60,,,,,,
 JudieannRose,2020年12月31日,I never used to get chest pain or breathing pain. Ever. I had #covid back in April and now any time I get poorly with even a regular cold I get chest pain and breathing pain. It's an absolute pain. I hate it. It's keeping me awake at night and making doing even basic things hard.,18,2,47,,,,,,
 MattPhillipsMP,2020年12月31日,"Great to see #Covid incidence and positivity dropping across most of Wales, but CV bed occupancy in 
 AneurinBevanUHB
 was 688 on Tuesday (283 at the peak in wave one). Despite the great vaccine news, the here and now is that we are at the most difficult point in this pandemic.",2,1,8,,,,,,
 GaryBlack1970,2020年12月31日,"“My eldest daughter Sophie (a frontline pharmacist) just tested positive for #covid - I’m off Twitter to put her & family first. 

Happy New Year to you all. 

Unless you’re a #COVIDIOT guideline ignoring, rule breaking, selfish conspiracy arsehole. 
You can go get F......ed!”",241,35,674,,,,,,
 NikeMorgan,2020年12月31日,"In the beginning of December deaths from #Covid in the US & in Greece were the same (relative to population ~ x30). Now, deaths have halved in Greece after 55 days in lockdown. Unfortunately, instead of going down in the US they're going up . Please be careful my US friends ",2,1,13,,,,,,
 emma_husar,2020年12月31日,"Not to put to fine a point on it, but really get fucked 2020.

Too harsh? #NYE2020 #StayAtHome #covid",65,64,742,,,,,,
 Nesil_Caliskan,2020年12月31日,"Reviewing latest #covid figures for #Enfield with senior 
 EnfieldCouncil
 officers this morning. Very worrying that infection rates continue to rise. But proud that 
 EnfieldCouncil
 test centres have delivered the highest Lateral Flow Tests in #London & 10th highest in England.",1,5,24,,,,,,
 NirvanaMonk116,2020年12月31日,It’s impossible to get back to normal life in the middle of a pandemic. You can’t live *normally* under unprecedented abnormal circumstances. Some live in denial of reality but that isn’t the solution to the problem. People are still getting sick. #Covid,1,2,7,,,,,,
 roseycatherine,2020年12月31日,Does anyone know timelines for getting through the border at #albury #wodonga please? #COVID19nsw #COVID19Vic #covid #checkpoint #border #pleasehelp,6,5,4,,,,,,
 HowardCCox,2020年12月31日,". talkRADIO 
 mrmarkdolan
 I’m optimistic for UK, only if 
 BorisJohnson
 
 RishiSunak
 recognise tax cuts stimulate a road to economic recovery. Their #covid spending spree mustn’t be followed by fiscal punishment. Put more money in everyone’s pockets & watch UK plc rocket 
 FairFuelUK",2,7,22,,,,,,
 Linguagroover,2020年12月31日,"I’ve just heard 
 GavinWilliamson
 being interviewed on 
 BBCr4today
. His policies sounded incoherent and unconvincing. He is evasive and waffly. The #Covid-19 pandemic has ruthlessly exposed the dearth of intellectually sound, evidence-based critical thinking in government.",1,5,12,,,,,,
 Terry94023972,2020年12月31日,"Germany has a similar demographic and density of population to UK.

It has a larger population than the UK. 

Why then are their death figures less than half the UK?

Johnson and his pals handling of this crisis has been lamentable.

#covid",11,3,28,,,,,,
 D0wn_Under,2020年12月31日,"While US, Australia and many European countries with far less population are still shutting down their economy to fight #Covid , China with 1.4 Billion people seem to be having no issues whatsoever. 
Ah and, Biden got 80+ million votes. 

That’s it for the “news” today.",,2,54,,,,,,
 realfreemanHKD,2020年12月31日,"Initially this year I wanted to do an album, seeing that #2020 had its own plans #covid happened... all these restrictions set me aside. The album is ready to go, just had to halt it. My fans were also getting aggressive with me tjoooooo I don’t know how 
 rihanna
 does it ",3,2,18,,,,,,
 announcerphil,2020年12月31日,"Almost a thousand deaths with #Covid yesterday, so just do the right thing tonight, stay at home, stay safe and keep those around you safe ",1,1,18,,,,,,
 NoraMulready,2020年12月31日,"We'll end up closing all schools and going into full lock down, but it won't be until 1000s more people have needlessly died or are dying from #covid. Government failure to have the guts/intelligence to lockdown now & massively ramp up vaccinations is unforgivable.",2,4,9,,,,,,
 UKGastroDr,2020年12月31日,"2020 has been awful due to #COVID, we’ve kept positive with acts of kindness, teamwork, innovation, & joy.

There is hope from vaccination, but this will take time. Have no doubt that 2021 will be tough too.

Let’s stay positive, kind, innovative & supportive.

#Hope #BeKind ",1,7,35,,,,,,
 PratapPadode,2020年12月31日,"Mumbai #stampduty concessions have set the #property market soaring in terms of registrations nearing 20,000 - expected to break pre-#COVID numbers. Why not extend it and keep the momentum going? 
 CMOMaharashtra
 
 AUThackeray
 
 MCHI_President
  NaredcoWest 
 N_Hiranandani",3,4,12,,,,,,
 sajsonite,2020年12月31日,"Everybody talking about #2020 as if tomorrow #Covid will be away, #Oppression will end, #Peace and #Prosperity will be the order of the day, and life will be nothing but joys and bliss. 
#NewYear",2,3,13,,,,,,
 Deborahj_Powell,2020年12月31日,"If there's a bit of radio everybody should listen to today, it's 
 rachelburden
 interview with a hospital doctor that started Breakfast on  
 bbc5live
  just now. He was spot on. #Covid.",2,6,23,,,,,,
 MaireadCavanag2,2020年12月31日,"#RodPhillips My medically fragile 12 yr old and his little brother haven’t been ANYWHERE since last March. Hope it was worth it. 
 fordnation
 
 RodPhillips01
 #Covid #lockdownontario #sacrifice #kids #onpoli #Ontario",1,5,18,,,,,,
 The_Truth_II,2020年12月31日,Birmingham #NightingaleHospital was to be a step down hospital to treat recovering #covid #patients opened by #princeWilliam  so not all were for intubated #patients as dimwits are saying,1,1,3,,,,,,
 nettiedays1221,2020年12月31日,"All right everyone need some good prayers, I have had a swore throat and stuffy noise the last few days and now I have a fever. No shortness of breath. I have an appointment for a test tomorrow. I ALREADY had it in April hopefully this is just the flu or something. #Covid",32,3,41,,,,,,
 makoto_au_japon,2020年12月31日,"We are saying goodbye to this rough year. 

We will win not immediately but definitely.
Wear a mask, wash your hands, social distancing 2021.
And please stay healthy for your dreams and future. 
LOVE, Makoto
#2021wish #COVID #coronavirus",1,2,8,,,,,,
 RabiyaJaveri,2020年12月31日,"Our lives changed in countless ways this year. We lost loved ones to #Covid & lived strange insular lives. But we also saw growth in philanthropy,  technology, e-commerce & innovation. May we take the good lessons learnt forward into our #NewYear & leave the sad memories behind!",11,7,80,,,,,,
 criskotsu,2020年12月31日,"#COVID’s UK-strain now identified in 
Shanghai

#China CDC & local governments issued many restrictions for holidays and #SpringFestival (CNY) after >100 cases reported in mainland today

South Africa strain varies from UK strain
Nigeria identified another separate strain",1,2,3,,,,,,
 SecySanjay,2020年12月31日,"Can 2021 be #AnnusMirabilis?

1 Learn to live responsibly with #Covid 
2 Enjoy the moment 
3 Immerse yourself with family & friends
4 Help everyone you can
5 Be passionate in what you do & follow your dreams",3,3,28,,,,,,
 timothysheahan,2020年12月31日,After you get a #covid #vaccine you may feel crummy and get a fever. It’s a direct result of your body’s gear up montage to Eye of the Tiger as your immune system gets prepared to kick #SARSCoV2’s ass. Like your body puts on John Rambo’s red headband.,6,11,49,,,,,,
 Prufrock_27,2020年12月31日,"My uncle passed away from #covid today. He was a dearly beloved physician & teacher at UCLA, and they couldn’t save him. They can’t even give his wife, also sick, a hospital bed. They can’t help you either. #WearAMask, stop social gatherings, stay home for #newyears.",4,1,6,,,,,,
 birla_vedant,2020年12月31日,"With more than 178,000 new cases among children this week in USA ,  infection in kids now total 2 million and with 22% increase last 15 days . 

Are we ready to take that ??
 and 
Do you know we are youngest country of the world  !!#Covid",6,17,94,,,,,,
 SecySanjay,2020年12月31日,"Was 2020 #AnnusHorribilis?

#Covid dominated landscape & imagination. Virus from #Wuhan was more disruptive than any technological innovation in recent times

Initial reaction was fear. But response was based on enquiry, empathy & enterprise. Human spirit will endure & overcome",1,3,10,,,,,,
 TheBookTrollop,2020年12月31日,Who would have thought the one thing to bring Americans together is the hatred of Bitch Ass McConnell with his turtle looking ass. Let me  senatemajldr so he knows we are talking about him. #Covid #mitchbetterhavemymoney #Mitchmcconell,1,,3,,,,,,
 SandraRPearce1,2020年12月31日,"Wondering 
 PRGuy17
 if people are placing bets on how quickly Victorian liberals such as #donutdick, and Murdoch hacks such as Rachel, Sophie, Peta and Proo start attacking 
 DanAndrewsMP
 again over #covid cases in Victoria? This afternoon? Tomorrow?",5,6,56,,,,,,
 bronxkelly,2020年12月31日,"So many months into #covid 
 MetroNorth
 
 CTDOT_Statewide
 & you can’t announce that masks MUST be worn, conductors ignore the mask less  & insult to injury you don’t have all the cars opened to use WTH is the issue?? I’m on the 7:55 out of Stamford",4,2,8,,,,,,
 ask0704,2020年12月31日,"Tested positive for #COVID :( quarantined for the next 2 weeks. 
#COVID19",122,12,152,,,,,,
 5wa,2020年12月31日,Florida’s #seniorcitizens never thought they would be camping out overnight for a #COVID vaccination. FYI #desantis #MicroRubio,1,3,2,,,,,,
 VABVOX,2020年12月31日,"According to the 
 CDCgov
, 1 in 5 people under 50 with #COVID requires hospitalization.",2,21,50,,,,,,
 oAcido,2020年12月31日,So many conspiracies about #covid yet so little discussions about how to improve your health in case you get it or how to deal with depression being locked in for this long. What gives?,4,1,20,,,,,,
 VABVOX,2020年12月31日,"Luke Letlow's former boss, Rep. Ralph Abraham, a doctor, gave a lovely eulogy for Letlow, while also noting that we must ""be very vigilant about this pandemic."" And 
 biannagolodryga
 melds compassion for Letlow's family with emphasis that people aren't taking #COVID seriously.",2,7,19,,,,,,
 bgazzar,2020年12月31日,"One in 5 people getting tested for #COVID in Los Angeles now has it, said LA Mayor 
 ericgarcetti",2,7,8,,,,,,
