name,date,content,share,retweet,like
DrWallBolton,12/31/2021,"If you are going out tonight to celebrate #NYE2021 take care re #covid but also take care of each other- our #urgentcare and #hospitals are on high demand. Thank you to all our #nhs colleagues working into 2022 to keep us all safe. 
@boltonnhsft
 @BoltonCCG",2 ,8 ,47 
GrandpaSnarky,12/31/2021,"Day 6: #COVID & Me. Dec. 30
Runny nose and coughing persist. Headaches gone. Feeling good. 
As anticipated, my PCR results showed I was COVID positive.
I shared this info with my kidney transplant center and they want me to have an antibody infusion as a precaution.",153 ,90 ,528 
MagEGordon,12/31/2021,"If you're looking for a New Year's Resolution, might I suggest following the best damn health reporters in #Houston as we enter (checks calendar, sighs) year three of the pandemic.


@JulianGi11
, 
@NMishanec
 and 
@ltpeyton
 have been covering #COVID and other health news tirelessly.",2 ,4 ,8 
MorganLKaplan,12/31/2021,"My brother spent *hours* hanging out inside with a friend who displayed symptoms the next day & subsequently tested positive for #COVID.

Thankfully, my triple-vaxxed brother feels great & has tested negative multiple times. He’s boosted.

#VaccinesWork #GetBoostedNow #GetVaxxed",1 ,1 ,12 
ianhanomansing,12/31/2021,"So much #Covid frustration on Twitter. If ever there was a time for data as opposed to sarcasm and ""I told you so"", it's now. As we begin the 3rd calendar year of this pandemic, thanks to the doctors/scientists who continue to provide clear guidance. More tonight on The National.",75 ,86 ,1757 
theGrit_music,12/31/2021,"So #Johnsons policy is let everyone get infected and put up tent hospitals with no staff to take the strain.

Or did I miss something?

#Omicron #covid",7 ,18 ,84 
ReydSally,12/31/2021,"Happy New Year’s Eve - we are having a quiet one due to #covid we are infected - wishing you all a good #followbackfriday #newyears If you are sane, kind, compassionate, not a racist and an all round good egg - I will follow you back xx",3 ,2 ,18 
ndtv,12/31/2021,"#JustIn | 37% of #Covid cases in #Mumbai are of the #Omicron variant, according to recent sampling.",6 ,73 ,877 
DrRedmile,12/31/2021,"UK Council support of headteachers who block parent donations of emergency #HEPA filters should be a crime.

Please retweet to help 
@RichardJCherry
 put an end to indiscriminate #Covid killings and 
@LongCovidKids



@WSCCnews
 
@LaylaMoran
 
@Matthew_Wright
 

#edutwitter",3 ,35 ,47 
cdrivett,12/31/2021,"Just had my #covid booster jab thank you #NHS. Really disappointed to be told yesterday they had 22 no-shows. If you can’t attend, rearrange it!",2 ,1 ,12 
Amaliniii,12/31/2021,"As we began to carelessly let our guards down, as the economic 'vistas' crashed (further) + year-end festivities overcame many, an average of 20 deaths a day for the last few months may have slipped past, unseen.

Thinking of those lost to #COVID this year, & their families. #lka",1 ,3 ,21 
FakeHeadteacher,12/31/2021,"I’m not sure schools should be advising staff not to meet up with friends and family tonight! 
Or maybe they have a point? 
#Covid #NewYear2022 #edutwitter",39 ,8 ,102 
MzwaneleManyi,12/31/2021,"Something to ponder.
How come we have ICU visuals in such abundance?
Thought ICU's were highly restricted areas?
#Covid",12 ,32 ,95 
pollypreston,12/31/2021,"FGS, when’s all this testing #covid going to stop? And mask wearing?",8 ,3 ,4 
roxy_mojo,12/31/2021,If you get #covid please take a lesson from #longcovid. Rest. Rest when you feel like you are better. And rest when you are used to pushing yourself. If there is a chance to help prevent longcovid- take it. Rest. Rest. Rest.,5 ,52 ,184 
TomElwin,12/31/2021,LFT’s available to order on NHS website right now. #covid #LateralFlowTest #LFTs,4 ,3 ,9 
airnewsalerts,12/31/2021,"#Puducherry LG Dr Tamilisai Soundararajan directs police, health & line dept officials to strictly enforce #COVID protocol to prevent possible surge in COVID cases. Vehicular traffic not to be allowed towards white town areas from 2 pm today till 3 am tomorrow. #Unite2FightCorona",1 ,5 ,63 
Marv_Tha_Mogul,12/31/2021,Some folks are still pulling their mask down to talk or only covering their mouth and not their nose too. Ay yi yi. #covid #CovidTesting #Omicron,1 ,1 ,11 
tanejamainhoon,12/31/2021,"There's a saying, 'There are decades when nothing happens, and there are weeks when decades happen.' 

Those weeks of decades happened during the #COVID second wave, when a hundreds of volunteers selflessly helped those in need. A year-end thank you to 
@YuvaaVolunteers


#Thread",2 ,8 ,50 
ErinStrades,12/31/2021,"My aunt is in the ICU with #COVID. She has comorbidity and is boostered. If she wasn't boostered, she'd be a) on a respirator or b) dead. Mention the vaccine in a negative way, and I'll block your ass. Don't care.",3 ,1 ,3 
julie_library,12/31/2021,Are the small business owners who whinged about #lockdowns going to whinge about having to close because their staff are isolating because they are #covid +,2 ,2 ,5 
Showers4Trump,12/31/2021,So to anyone who cares…I have #Covid. It started last Friday with a scratchy throat (the hallmark of #Omicron) that would come & go. A couple days later I had low grade 99.6 fever. That was it. Got my #booster in November…Pfizer vax worked 100% as advertised. Two thumbs up,4 ,2 ,4 
JaimeEisenbraun,12/31/2021,The CDC says we’re just going to have ONE drink and then we’re going home. #CDC #covid,1 ,2 ,11 
bithika11,12/31/2021,"Last year at this time,my TL was flooded with tweets wishing for 2020 to be gone quickly,everyone confident that 2021 would surely prove to be better than '20.
No such sentiments being seen this time around.The #Covid pandemic has had a v sobering,saddening effect on everything",2 ,4 ,21 
DB4dignity,12/31/2021,"Home #Covid tests for #Massachusetts teachers will not arrive in time for school on Monday.
But state says schools will resume classes regardless.

@CharlieBakerMA
 says, “People are gonna have to be patient.”

How about, “People are gonna get to stay healthy?” #mapoli",2 ,3 ,16 
tomdquinn,12/31/2021,RATs completely sold out in Ballarat. Pharmacy expects 4 days minimum until any resupply. What an absolute disaster - especially this time of year. #covid #covidaus,5 ,17 ,40 
Shulhan,12/31/2021,"If I told you “You stick your finger up your butt for 5 mins you’ll come into money” and then if I told you “some times you have to do it twice” or “okay third times the charm” why are you believing me when I say “fourth time works I promise” ? 

#covid #omicron #vaccines",3 ,4 ,14 
GothwaveLtd,12/31/2021,"Does anyone else think that we should start calling #Covid deaths a suicide? I mean after all, they’re stubbornly refusing to get #vaccinated which would likely save their lives. Just a thought. #GetVaccinated #vaccine #Booster",1 ,1 ,1 
brucebruyere,12/31/2021,"Thanks to Canada and China for new era in microbiology and new protocols in health care! Remember, whatever you exploit will come back and bite you! #covid #Omicron #microbiology",1 ,1 ,2 
phlegmfighter,12/31/2021,"I suppose that it will still be lost on #creationism folks who don't ""believe"" in #evolution that we're witnessing #naturalselection in real time & in real life right now, so I guess I shouldn't bother. #COVID #delta #omicron #mutation #fitness #adaptation",3 ,4 ,19 
sszinglehead,12/31/2021,"Let me get this right.

If every one spends no more than 3 hours and 59 minutes with anybody else no one will catch #COVID?

Am I right #Scomocron?",2 ,2 ,5 
SteveW69x,12/31/2021,Not had this many tissues next to my bed since i was a teenager #covid,19 ,2 ,56 
dotcomdon,12/31/2021,"At the start of #covid why didn't the City of Houston do a ""back back"" PSA with 
@SUCLILO
 ?",1 ,2 ,1 
DrRebeccaTidy,12/31/2021,"Unpopular opinion: BoJo needs to take some action and cancel New Year's Eve if hospitals are preparing to put patients in tents due to high Covid admissions.
#Tories #Covid #BorisHasFailedTheNation",1 ,1 ,8 
mefibromyalgia1,12/31/2021,"Any #pwme who’s had #covid noticed a difference with their eyes itching, then feel tender (not sure if that’s the right word for it) & watering?",3 ,1 ,8 
rtennantwood,12/31/2021,"I'd love to tell you that because of #COVID I'll be staying home with a good book this #NYE, but it's actually what I do every year.",2 ,1 ,5 
ABhoysVoice,12/31/2021,"20,000 #Covid19 cases today.

So government bring in restrictions.

To stem spread of #Covid? No.
Restrictions on getting a PCR test.


#Covid19Ireland",4 ,22 ,99 
RTaylor_LibDem,12/31/2021,Attention: small children (u5) can have #Omicron when only symptom is fever. Not sure this is widely known. I consulted #NHS111 for my 3yo & was referred to local pharmacist; neither suspected #Covid. I did LFT as 3yo's school asking all kids do; didn't expect positive result.,2 ,10 ,9 
MelissaLMRogers,12/31/2021,"FORCIBLY confined in my own Country and as of tomorrow at 5 pm the government says I’m NOT ALLOWED to gather with anyone outside my household. Sickening 

#Canada #Quebec #Montreal #Covid",102 ,181 ,555 
LSedger,12/31/2021,"Let’s be clear: loosing control of #Covid-19  is not an accident, or incompetence. 

It’s *deliberate* #LNP strategy.

How does it feel to be >60,immunocompromised or have a health condition, and to KNOW the #LNP considers your life less valuable?
Consider this when you  vote",2 ,20 ,44 
SaundraBales,12/31/2021,"There is no sympathy or thanks for #MAGA, #antivaxxers  #antimask, #covid deniers and idiots. These dumbasses  are overwhelming our healthcare in AZ, which is now at code RED. I may not get the surgery I need, because the hospitals are running out of beds. 
#GetVaccinatedNow",,3 ,8 
Boeufblogginon,12/31/2021,"21,151 new #COVID cases today in NSW. It’s almost DOUBLED! Govts, NSW & Fed, have ditched the concept of even attempting to minimise the extent of this pandemic.They’re now trying to reduce testing so there’ll be less #covid.
They should be forever pilloried for their negligence!",4 ,32 ,66 
talkradiotommy,12/31/2021,"Why exactly didn’t Premier #Legault shut the door a month ago - before the horses had bolted? As usual, too little too late. #Covid  #balagan #SupplyChain #staff #shortages",18 ,11 ,134 
CadenceInterrup,12/31/2021,"So the #NationalCabinet has decided that it’s all about Rapid Antigen Tests now. Which cost $50 for a pack of five. 
@ScottMorrisonMP
 has successfully turned #COVID19 into a class divider as well. It’s all about caring for the wealthy. #auspol #covid #ScottyTheAnnouncer",33 ,182 ,417 
ChrisReason7,12/31/2021,"NSW Health latest update - 21,151 new cases. Record number, record increase. 
- 763 people in hospital
- 69 people in ICU
- 6 deaths
#COVID19 #covid",17 ,28 ,45 
Nate_McMurray,12/31/2021,"I passed a #covid testing site. It looked like hell. Covered in makeshift signs, people standing in the rain. 

We have gone the wrong direction for 40 years—the anti-government, anti-community, the supposed free market solves all our problems, Reagan way. 

We need to go back.",7 ,6 ,69 
unbridledmd,12/31/2021,"I've diagnosed 8 cases of #COVID this week (since Monday), 4 vaxed, 4 unvaxed, 4 qualify for MABs. All vaxed asked ""should I still get the booster?""....um this is a live virus booster (I saw all of these people in person...testing my immunity) #unvaxed",3 ,7 ,38 
jabarocas,12/31/2021,Here’s the on the ground truth. Healthcare workers are coming down with #covid across the country. Soon there will not be enough to staff all clinical services at this rate. And unvaccinated is the greatest (by far) risk of severe infection/hospitalization. By far,,11 ,21 
MattYoungCTV,12/31/2021,"SASK COVID UPDATE:  Huge jump in cases, but hospitalizations fall and ICUs down by one.  4 more deaths. 
#’s below

New cases 589
(Highest since Oct 7th)

Hospitalizations 79
(Lowest since Aug 17th)

ICUs 14
(Lowest since Aug 24th)

#yxe #Saskatchewan #yqr #skpoli #cdnpoli #covid",1 ,6 ,12 
ABhoysVoice,12/31/2021,"20,000 #Covid19 cases today.

Government response? 

No, not try harder to stop the spread of #Covid.

- Restrict PCR testing.
- Reduce isolation period from 10 to 7 days, if you test positive for Covid.

Yes. Seriously.



#Covid19Ireland",7 ,16 ,67 
ACPAshishKumar,12/31/2021,"It's last day of the year 2021. Don't make it #lastday of your life. 
Don't do rash driving,
Don't drink & Drive. 
Say no to drugs. 
Follow #Covid Appropriate Behaviour.. 
Carefully Enjoy New Year Eve, reach your home safely & timely  
@ACPAshishKumar",7 ,43 ,154 
ml_buckley,12/31/2021,I still can’t smell anything and my taste is still very off  does the burnt  orange remedy work?? #replytweet #covid,7 ,2 ,13 
CarmenFalcone6,12/31/2021,"Both my husband and I tested positive for #Covid (mild symptoms). 

Thankfully grandparents (no symptoms and negative- so far) are still here and can take care of our baby while we isolate. 

Mixed emotions here at the moment, I’ll share for those who can relate 
(1/3)",12 ,3 ,79 
SreyashiDey,12/31/2021,"Please #MaskUp even if you’re double vaxed or have had covid in the past. 

All the pub hopping, street walking, selfie, Insta posts can wait.

Stay home with your loved ones, see how far you’ve come and thank God. 

It’s not worth the risk. 
Maintain #Covid protocols please.",14 ,36 ,230 
ebb_md,12/31/2021,"Shielded a bit from #covid, working in abdominal tx #ICU. Covered MICU last few nights—in total awe of the camaraderie, compassion and resilience of colleagues who have been working the front lines. Truly inspirational profiles of courage 
@PACCM_fellows
 
@PittCCM",1 ,3 ,36 
philipoconnor,12/31/2021,"The great paradox of #Covid seems to be that those who want ""freedom"", as they call it, are the very people who are not prepared to take responsibility by wearing masks, getting vaccinated, behaving in ways that limit the spread etc. 
You cannot have one without the other.",14 ,1 ,39 
R_Castillo14,12/31/2021,My friend said he got Covid twice already. I said he should go for that 3peat. Call his ass Covid Bryant. #covid,1 ,2 ,3 
KeithSinclair5,12/31/2021,Today prescribed painkillers & anti-inflammatories 5 long weeks after #Covid & lung infection struck. I supported #hospitality in West End of Glasgow & got Covid+ in return. Tired hearing about publicans’ woes when Scot Govt are trying to save lives & help #NHS. #GetVaccinated,6 ,62 ,160 
RichardScribbl1,12/31/2021,Now trains are being cancelled well in advance because of staff shortages caused by #Covid. Keep watching those statistics Prime Minister.,1 ,3 ,13 
girlguidejones,12/31/2021,"Do you ever just stop and think about the fact that if Hillary Clinton had been elected in 2016, we would be living a normal life right this very moment? #COVID",4 ,1 ,6 
VenkatFrChinnu,12/31/2021,"We are back to asking for help on twitter. We learnt NOTHING!

It’ll be the same trauma AGAIN! We’ll lose loved ones again and shut down economy and fire staff. But we will learn nothing.

#Covid #ThirdWave",1 ,2 ,3 
omarbula,12/31/2021,".
@WHO
 is merely the tool used by China & Mult. Corporations to push the #covid control agenda...and it is evident",2 ,55 ,76 
AndyLeeParker1,12/31/2021,Cute how shitlibs are blaming those who refuse to get #vaccines manufactured by corporations convicted of fraud mandated by a government that owns stock in them and that don't stop spread or contraction AT ALL for the increase in #COVID. An impressive display of groupthink.,3 ,7 ,20 
GrittyNurse,12/30/2021,Please talk to your kids what may be coming next week. No point in them being surprised. #COVID19 #Covid,5 ,5 ,50 
lobstah_luvah,12/30/2021,"Last summer when #COVID was down, we booked a cruise with our two kids, who'd both be in college, for spring break, March 2022. The payment was due this morning, so we canceled. It's too risky, thanks 
@GovRonDeSantis
 and unvaxxed #COVIDIOTS.
@crusieNorwegian 
@RoyalCaribbean",4 ,1 ,17 
GrandpaSnarky,12/30/2021,"Day 3: #COVID & Me. Dec. 27
With a runny nose, splitting headache, persistent cough and anxiety, we began our 400 mile trek through 6 states to get home. I searched for an available testing site or drug store with a rapid test kit. Zero luck.",143 ,67 ,335 
gbtphd,12/30/2021,"BREAKING NEWS: Jobless claims have hit a 50 YEAR LOW! 

Rs, can we now agree Biden’s good for the economy???

#Biden #BidenDelivers #BidenfixingTrumpsmess #Covid",1 ,5 ,17 
GrandpaSnarky,12/30/2021,"Day 2: #COVID & Me: Dec. 26
Late in the afternoon, we were informed that the guy who became ill right after our Christmas dinner tested COVID positive.  My being immunocompromised, we now planned to leave early on Mon., confident that we could find a testing site en route home.",21 ,14 ,111 
GrandpaSnarky,12/30/2021,"Day 1: #COVID & Me: Dec. 25
My wife and I I attended a small (8 people), out-of-state Christmas gathering. All were fully vaxxed and boosted. After dinner, one person who traveled from the west coast, wasn’t feeling well and went to his room.",42 ,34 ,130 
RoccoNY1,12/30/2021,"Incoming Mayor 
@ericadamsfornyc
 outlining his #COVID battle plan .  He says the city can’t shut down again. He says testing and the vaccines are the key . More on 
@NY1",4 ,3 ,12 
KteacherBx,12/30/2021,"Listening to 
@ericadamsfornyc
 is worse than listening to 
@NYCMayor
 Incoming mayor you lost me when you said we have to ‘live with COVID’ That is NOT what you tell people!!! #nyc #covid #ericadams #pressconference",3 ,4 ,21 
nehakhanna_07,12/30/2021,"#NEETPGCounselling: Why is the Govt so reluctant to expedite the process, facilitate the entry of almost 50,000 doctors into the medical fraternity & ease the burden of the overworked resident doctors when India is bracing itself for the 3rd #Covid wave? At 9 pm 
@IndiaAheadNews",6 ,4 ,29 
markwineburgen,12/30/2021,"A lot has been said on #COVID19, however most tweets lack (scientific) sources and miss nuance, e.g. #COVID is either just a #flu, or the most devastating disease ever. Similarly, everyone should take the #vaccine, maybe with a #VaccineMandate, or nobody should take it..",4 ,6 ,17 
Daanish_Anand,12/30/2021,"Delhi reports highest fresh #COVID19 cases in 7 months, crosses the 1000 mark 

Delhi records 1313 new #Covid cases, positivity rate at 1.73%

423 Recoveries & 0 deaths #DelhiCovid",2 ,3 ,9 
JustinBrannan,12/30/2021,Wanna prove #Omnicron variant is insanely contagious and COVID still not pretty for the unvaxxed? Wanna prove #COVID vax still overwhelmingly effective at preventing severe illness & death? Show data on how many of those #Omicron positive & hospitalized are vaxxed vs. unvaxxed.,9 ,6 ,34 
dave_andersen,12/30/2021,"Allegheny County & Pennsylvania #covid hospitalization & variants thread for 2021-12-30:

Allegheny reports 1980 new cases.
Hospitalizations are +0 to 470.
ICUs are +5 to 118 (89% full).
7 day avg to 1205 cases/day
Posting from mobile, graphs will follow this afternoon
1/6",7 ,10 ,19 
frequentbuyer1,12/30/2021,"Old lady wisdom:

Shove your “natural immunity” up your ass. 

The end. 

#Covid #COVIDIOTS #thursdayvibes #GetVaxxed",7 ,4 ,65 
oliveblogs,12/30/2021,I know some of my followers here have children who are very sick from #Covid right now. As I will be continuing to share reports related to children/Covid (to raise awareness) it may be no harm to mute me temporarily for your mental health  (I did this when ours were sick too),1 ,3 ,59 
DrAnnLopez,12/30/2021,"Stop with articles entitled ""why in-person learning matter"" as if y'all trying to convince teachers. Y'all don't think teachers know that? Hell yes, they do!

They just don't want to die from #COVID in poorly ventilated classrooms with inadequate PPE & leave their families /1",29 ,501 ,2767 
peterdaou,12/30/2021,"We're clearly at the ""let everyone get sick"" phase of Team Biden's pandemic strategy.

#Omicron #Covid",86 ,176 ,1412 
Treestand_tweet,12/30/2021,"Folks stop rooting for #covid medicine likes it’s a sport team, stop denying the therapeutics available that are safe and effective…Never in history have we denied treatments that work for political reasons…",1 ,2 ,25 
KarnieSharp,12/30/2021,"Day 3 on OS via 
@bbcworldservice
 from 1600 GMT Looking at #Ashrafghani interview for BBC Radio, #GhislaineMaxwellGuilty, also Sudan protests #SudanBlackout. We'll hear from 
@firefoxx66
 on latest #covid lines & from 
@bbclysedoucet
 on her coverage of #Afghanistan Do join us",1 ,3 ,21 
MeanLin1,12/30/2021,"#Europe ramping up control measures ahead of a surge in #COVID cases. These are difficult decisions. UK predictably the outlier, seemingly unable to do anything. 

Don't listen to those stoking COVID response outrage in US partisan terms. These people aren't being honest.",2 ,2 ,11 
RichardNewby3,12/30/2021,The shortage of lateral flow kits is appalling. This #Tory Govt has miscalculated throughout Covid. It joins a litany of mistakes which they don’t want exposed in any sort of serious enquiry. #Covid #lateralflowtests. #NHS #LFT,15 ,63 ,183 
Carer49,12/30/2021,"#WhatMakesACarerCry
#Covid Russian Roulette for the few, necessary beyond our four walls.  
It’s not good for the blood pressure.",2 ,5 ,13 
daphnenews,12/30/2021,"More than 26,000 new #Covid infections have been counted in Greece so far today, according to EODY sources cited by the state broadcaster (EODY stops counting at 3 p.m.) Yesterday's record was 28,828.",1 ,3 ,5 
leb_obs,12/30/2021,"A  on being vaccinated + feeling sick   + testing negative for #COVID

On Tuesday I felt some aches and pains in my body and decided to take an afternoon nap. Woke up at around 6pm freezing cold, getting chills, with a headache, a sore throat and a blocked nose.

Fever 38.7",19 ,5 ,48 
ramonagusta,12/30/2021,"France has been in effective lockdown for months.

Now seen 208,000 ""cases"".

Awkward for the lockdown fascists. 

#COVID",5 ,18 ,68 
vass_vassiliou,12/30/2021,Things that run out in  during the Covid pandemic. 1. Toilet paper                                         2. Petrol  3. Ambulances                                               4. Lateral flow tests  5. PCR and sadly 6. Hospital beds (imminent) #covid #wearamask #vaccines,1 ,7 ,28 
JennyJenocon,12/30/2021,"Bit baffled about why both state and federal #LNP thinks letting us all get #covid, not providing free RATs and lying about the transmission times and rates of infection is an election- winning strategy. 
I must be missing something",3 ,3 ,26 
TPourchaire,12/30/2021,"It’s crazy how i didn’t catch covid for 2 years and now I have it by doing nothing special and everyone I know has it.

Just stay safe guys, and I hope this fuc***g sh** Covid ends soon.

#COVID19 #Covid",83 ,106 ,2980 
SherpaSmile,12/30/2021,As an educator I have realised what the impact of #letItRip #omicron will probably have AGAIN on another year of schooling #covid,1 ,1 ,5 
TassieObGyn,12/30/2021,"As a medical practice we were informed of a positive #COVID visiting the rooms .. 5 days after it was known (6 days after the visit) 

Only 6 days after #Tasmania opened its borders, & already public health overwhelmed. 

#GetVaccinatedNow Tasmania. It’s going to be everywhere ..",2 ,16 ,54 
Chrisclarry1,12/30/2021,"Ive got #covid not.. but im jumping the gun here by saying ive got either Pi, Rho or Sigma which probably they will invent after moronic sorry Omicron disapears in Jan2022 #COVID19 #CovidTesting #covidvariant Ive got a effing cold/flu",1 ,1 ,6 
reidpj,12/30/2021,"I received a text message from #ServicesNSW at 3.44pm on 26.12.21 advising I had been in the Myer store at the time when a #Covid case was also in the store. This brings me concern as I was not in Myers on 26.12.21, nor was I anywhere in the Sydney CBD on that day.

@NSWHealth",4 ,18 ,34 
saghir7,12/30/2021,"A lack of LFTs and PCR tests, rising infection rates and hospital admission rates. Healthcare staff absence rates rising due to positive #covid cases. We all know where this is heading within two weeks time.",1 ,5 ,21 
MsUnformation,12/30/2021,Getting my #COVID test this morning. I feel like death and I'm freaking out.,8 ,1 ,21 
julianhosp,12/30/2021,"Don’t let them trick you!
#Covid didn’t cause inflation, politicians’ decisions did.
Businesses didn’t cause inflation, politicians’ decisions did.
Wealthy people didn’t cause inflation, politicians’ decisions did.
Crypto didn’t cause inflation, politicians’ decisions did.",29 ,76 ,510 
MorePopcrn,12/30/2021,"Florida had 47,000 #Covid #Omicron   Cases today.  I guess that whole natural immunity (herd) didn’t work out like #Desantis thought it would? By the way where is he? Recovering from Covid?",1 ,1 ,1 
TheExhaustedRT,12/30/2021,"Overheard in the ER: “Well, she’s too sick to stay here, but all the hospitals are on diversion!!!” See? Losing basic care for other conditions besides COVID, because the unvaccinated are taking all of our beds. Somebody needs to fix this. #covidvariant #GetVaxxed #COVID",3 ,7 ,25 
IngrahamGary,12/30/2021,I was hoping his 2022 New Year’s resolution was to stop wetting the bed #COVID,3 ,2 ,33 
SwatySMalik,12/30/2021,"Have never felt this petrified reading data. Families have not been to get over the grief of losing loved ones in the 2nd wave and here it comes again. Please take care. Wear masks. Sanitisers in the pockets again and keep distance and stay indoors. God, have mercy on us. #Covid",4 ,4 ,37 
atdavidhoffman,12/30/2021,"My niece has had a sore throat the past few days. Today she went to the doctor and he tested her for strep. It was negative. He didn’t even suggest she take a Covid test.

Tonight she was able to get a Covid test and she’s positive.

#Covid",14 ,15 ,59 
