name,date,content,share,retweet,like
AllergicToWoke,03/15/2022,"I am so sick of the #covid simpletons who seem to believe that the #economy is just something that can be ignored or turned off & on again at will.

The economy is lives, livelihoods & everything that enabled the #healthcare you claim to care so much about.",1,3,6
rinski_roo,03/12/2022,"Looking forward to seeing the new #covid flowchart for #onted cause I am hoping there is still some sort of screening, even if it is passive. 

Like, do kids still stay hope if symptomatic? One or more? Certain ones? Travel? Vaxxed/unvaxxed? I feel very lost.",2,1,7
jcjackson68,03/12/2022,"When you ""drill down"" and look at the neuropsychological performance of #COVID survivors with cognitive impairment, you don't see profound deficits in a single domain as much as ""mild"" deficits in wide ranging domains.  The death of a thousand cuts.  
@CIBScenter",1,4,18
WendyNordvikCar,03/12/2022,"Called Shoppers Drug Mart today to ask about buying COVID rapid tests. I was happy that I could pick up free rapid antigen tests because I am 50 plus.   

It turns out this age group can get a box of 5 tests every 28 days.  #COVID19 #health 
@ShopprsDrugMart
 #COVID #heathcare",1,1,2
IWF,03/12/2022,"WATCH: 
@MayMailman
 joined On Balance with 
@LelandVittert
 on 
@NewsNation
 to discuss the Navy refusing to deploy a multi-billion-dollar guided missile destroyer because its commander won’t get the #COVID vaccine on religious grounds.",,,
lolMBTA,03/12/2022,"RT 
@kespethdude
: ATTN: Everyone. The #mbtafail Orange Line is shut down this weekend due to the Haymarket project.  Avoid at all costs, and postpone your trips if you can.  You WILL get #COVID on the sardine can shuttle buses due to lack of mask enforcement if you try them.",2,1,6
Nate_McMurray,03/12/2022,"We just survived #Covid, at least most of us did except for mainly people who were to prideful to get vaccinated. And now we’re talking about a biological weapons in Ukraine? 

It’s 2022. And sickos wants to kill with manmade diseases designed to cause maximum pain. Insane.",1,2,5
NiagaraChair,03/12/2022,"Today, we remember the 519 Niagara residents we have lost since the beginning of the #COVID-19 pandemic, and those who continue to suffer lasting impacts. On this second anniversary, we also reflect on the lessons we have learned & how we will continue to move forward together.",3,19,100
ProfAmyE,03/12/2022,#MedTwitter #NurseTwitter what’s the word on 4th #Covid-19 shots? I hear many things. What’s happening in practice? Timing? Who’s eligible? #BA2variant,,1,1
2kLiberty,03/12/2022,"#TrumpCult have made #DrFauci,a public servant long respected by both parties,into their boogeyman,accusing him of insane conspiracies & putting his life at-risk,all because he dared contradict their #OrangeMessiah’s #COVID lies.
Tell me again how #Trump is different from #Putin",2,5,17
catladyactivist,03/12/2022,"Dear Covid Deniers,

If you want a place at the #Covid discussion table (and by the rage tweets you so prolifically defecate it's clear you do), try conveying a thought without excessive profanity, harassment, and name-calling. People might at least try to take you seriously.",7,4,33
PTF_org,03/12/2022,We've waited. We've isolated. We've watched adults complain about masks. It's been 2 years. LET OUR KIDS HAVE ACCESS TO #COVID VACCINES! #ImmunizeUnder5s #ProtectionOverPolitics,2,27,92
JAProsperity,03/12/2022,"It cannot spell sense that the 
@MarkJGolding
's Op is suggesting that the 2022/23 Budget be ""recrafted"" to anticipate an anticipation.

Supplementals to Budgets are 100% normal. PNP did it every year whilst Jamaica experienced no #GlovalRecession no #Covid, no #WorldWar3, so???",2,2,13
donlav,03/12/2022,"#COVID Shopping in Lidl and Tesco in Gorey today. 
Noticeably fewer people wearing a face covering. 
It is really such an inconvenience? 
I will continue to wear one, social distance and wash up. 
It makes sense to me. 
#Wexford",105,28,445
MichaelKuluva,03/12/2022,I feel #COVID19 is surging MORE than ever now and everyone is just loosening up all the restrictions WAYYYY too fast. Wrong time to loosen these Covid mandates! Stay masked!! Stay safe!! #immunocompromised #rheumie #spoonie #COVID #Covid_19 #nervous,2,4,16
letterstolocke,03/12/2022,"So, do we just keep getting #Covid until it kills us?",5,7,33
PhilPerkinsCHCH,03/12/2022,".
@CHCHNews
 Ontarians, instead of no mask and no vaccine certificates, would you rather the BC approach? 
Mask mandate done *today* but vaccine certificates for a little longer. #covid #Masks",47,6,62
EdnaKrabapple1,03/12/2022,"So, 13000+ #covid cases now in Scotland. . .yet, what's available to support #CEV adults & kids. . .a bright, yellow badge.  Advice from 
@theSNP
 for people like me #putupandshutup & #livewithit. Many #CEV won't even qualify for the 4th vaccine! 
@HumzaYousef
 
@dgurdasani1",5,14,60
howardfineman,03/12/2022,"#Putin’s not inflation’s sole cause. Others: flood of govt stipends during #Covid, labor wary to return, supply-chain fail, biz using that as an excuse, no investment in housing, Fed too easy too long, Wall Street mega-greed, lost faith in order/leaders, super-rich are insulated.",19,29,114
TomABacon,03/10/2022,"Well, managed to avoid #COVID until now. Of course, the pandemic's over, isn't it 
@BorisJohnson
? Hopefully it'll just be mild. And just hoping and praying I haven't passed it on to anybody - that's been my biggest concern throughout.",4,1,22
MelissaLMRogers,03/10/2022,"United Airlines will allow unvaccinated workers workers (for religious or medical reasons) to return back to work at the end of this month

#Airlines #Travel #Covid",16,30,122
tzeni27,03/10/2022,"#breakthebias was not on my day’s agenda! Events triggering early #lockdown experiences, feelings of being a failure at work, home and #parenting all due to a sneaky #covid encounter. We need space to heal, rest & rise with #respect #IWD22  #AcademicTwitter #motherhood #support",2,1,4
Democracy_Spot,03/10/2022,"Mom Update || Mom was eulogized and buried today.

RIP Ann / 1936-2022 

PLEASE get vaccinated and wear a mask. Mom was triple-vaxxed and died from #COVID anyway.",33,18,137
PTF_org,03/10/2022,"We need #Covid #vaccines for children under 5 NOW. These children are being put LAST. We should have put them FIRST. Let's remind 
@DrCaliff_FDA
 how many of us are WAITING for him to put #ProtectionOverPolitics and #ImmunizeUnder5s TODAY! RETWEET",1,22,41
allyrose77,03/10/2022,Achwell may aswell have #covid again.... anything else you want to throw at me big man...,1,,1
lynnsweet,03/10/2022,"New: via 
@SpeakerPelosi
: ""Because of Republican insistence — and the resistance by a number of our Members to making those offsets""  —  the #COVID funding in #omnibus is dropped.  ""We must proceed with the omnibus today"" w emergency funding for #Ukraine.",3,4,4
KennethBaer,03/10/2022,"Now that #omicron has passed and we are looking at the ""new normal"" and we know that #covid is transmitted through the air, we can dispense with the hygiene theater and put that effort into better ventilation? Self-serve snacks won't kill us.",2,4,15
MapdraughterUK,03/10/2022,"I’m 70 years of age, a retired professional & director. My natural inclination has always been a belief in economic trickle down & hence 
@Conservatives
. I will never forgive 
@BorisJohnson
 & his choice of ministers for #Covid response & now the refugees crisis May he rot in hell",4,10,17
LtotheJtotheP,03/10/2022,"Hey 
@BorisJohnson
 
@sajidjavid
 
@CMO_England
 another consequence of my getting #covid is I cannot help my elderly father care for my even more elderly grandfather who has complex needs. This shouldn’t have happened as COVID ISNT OVER JUST BECAUSE YOU SAY IT IS #CovidIsNotOver",1,2,12
JuggernautsMom,03/10/2022,"My son's school just announced masking will now be optional, even though they only have a 52% vaccination rate. It's so disappointing. No one seems to care about the fact that #COVID is still here. And if you're immunocompromised to under the age of 5, you're f-ed",1,1,5
LeslieChannon,03/10/2022,"LEGAL ? 

How can #SickPay be down to managers discretion & not be a right of employment? My brother-in-law was forced back to work this week, b4 he has fully recovered from #Covid because they won’t pay him if he takes a 2nd week off? Is this normal now? #EmploymentLaw 
#SickPay",1,3,5
parsenberg,03/09/2022,One of my colleagues has 10 students out with #covid right now  Can’t wait to see what classes look like without masks  after March Break  What science are they following again? #onted #VoteFordOut,2,2,7
SpokespersonCHN,03/09/2022,"#Lithuania canceled a planned shipment of 440,000 #COVID-19 vaccines to #Bangladesh, because it abstained from the vote on the UNGA resolution on #Ukraine. This is a textbook example of ""coercive diplomacy"".",184,601,2158
SocialGood_Inc,03/09/2022,"Crypto cashback is still in its infancy and there are many questions to be answered before it can become mainstream. 

At SocialGood, we’re ready to walk this road with you all.

#askyourquestions #cryptocashback #SocialGoodApp_CryptoBack
#IWD2022 #sell #COVID",35,19,53
_lokeshsharma,03/09/2022,"#Rajasthan #CoronaUpdate:

161 #Covid cases reported
72 from #Jaipur 
2 #Corona related death 
Today's #Recovered266
Active Cases are 1442

0 Cases in 13 Districts
Recovery rate rises to 99.13%

Please stay alert and Keep wearing Mask
#StaySafeStayHealthy",22,216,349
AlanDrabble1,03/09/2022,"If someone dies from #covid, exactly what does that mean? What is the mechanism? Stop breathing? What exactly stops working?",1,1,1
LtotheJtotheP,03/09/2022,"Wassup 
@BorisJohnson
 
@sajidjavid
 
@CMO_England
 another consequence of getting #covid is my husband’s practice is without an outstanding practice manager for a week. PMs are the beating heart of a practice. This could have been avoided as COVID ISNT OVER JUST BECAUSE YOU SAY IT IS",3,5,13
confidencenac,03/09/2022,"I feel up to doing a bit more today so going to make some chicken broth and get on with some campaign work.
Winning on that #covid !

Have a good day",5,3,66
nikhewitt,03/09/2022,"The UK had 62,704 new #COVID cases and 213 deaths yesterday, but UK Gov says we no longer need to wear masks in public. I’m out in the town this morning and the few of us in masks are giving each other the nod like we’re in some kind of secret club. #CovidIsNotOver folks.",11,26,88
JuleeG1,03/07/2022,"Under #Trump, people were told to drink bleach to cure #COVID and #MAGAts said ""that's a great idea.""  
Under #Biden, people were told to #getvaccinated to prevent COVID and MAGAts said ""f*ck you science and medicine."" 
Our world is so divided. 

#EndTheWar",1,3,2
Wendy_Bacon,03/07/2022,"In case you’re  wondering there’re still more than 1000 people in hospital with #COVID accord’g to 
@NSWHealth
. More  people in hospital & more people died  yesterday than the previous day #nswpol",1,51,66
Aaron_Derfel,03/07/2022,"Hi everyone: The Evening Owl will be dropping a #COVID Twitter thread momentarily, returning to the subject of the fallout of #PutinsWar on the #pandemic, especially in Poland and Ukraine.",1,6,49
shoshanahjacobs,03/07/2022,"After 2 yrs, we’re left with: -12,600 deaths
->1.3 million cases
-long #COVID with an unknown cost and tragedy 
-5.5 billion in 
@fordnation
‘s pocket

5.5 billion could have reduced all these numbers for this and future illnesses #Ventilation

To me, this feels criminal #Ontario",1,15,56
JoshAnd20147162,03/07/2022,"$enzc Just want the community to understand that we can finally get #enzc trending if we actually hashtag it, not just using the dollar indicator.  I'll keep tagging it with #COVID19 because #COVID is always trending amd IPF Immune will easily modulate the immune system for this!",3,7,41
johnom318,03/07/2022,"This #Covid is a b@((
@x
.
Aches, shivers, flu like on Tuesday. Breathlessness and fatigue now making simplest things liking walking upstairs feel like climbing Knocknarea with concrete in lungs. Thankfully I'm normally quite fit, nonsmoker, nondrinker, cyclist and vaccinated.",19,3,50
LindsayWesker,03/07/2022,"Just unfollowed an anti-masker.  Didn't know he was a simpleton until just now.  Oh, well.  638 #COVID  deaths last week, including a cousin of mine, who I had dinner with a few months ago. #pandemic ain't over yet!  #WearAMask",5,3,24
MarkDavis,03/07/2022,"I love truckers. I loved the Canadian convoy.  I love the idea  of American truckers in a #FreedomConvoy against the remaining vestiges of #COVID authoritarianism. But with the restrictions falling away and attention so diverted, this whole thing seems months late.",23,4,100
ChioneNgozi,03/07/2022,"So *cough, cough* what brings you here today? 
Erm..just a check up today..can I just ask about that cough?
Oh, [stuff & nonsense] that’s NOTHING! I haven’t got #Covid DON’T WORRY! 
Now I’m f*cking worried. When we reopen the #NewZealand borders excellent #dentists welcome!",1,3,6
PLVerratti,03/07/2022,"Are Americans aware that the free home #Covid test kits sent out by our government and hard-earned Tax dollars are MADE IN #CHINA?

#NoWords",3,3,3
earth_mummy,03/07/2022,"What is the first word you associate with 
@BorisJohnson
?

#BorisJohnson #BackBoris #Boris #Brexit #Conservative #Covid #Immigration",83,9,13
g_gosden,03/07/2022,"After two years of avoiding #covid and being so careful as I’m immuno compromised, Mrs G has just got the virus. So angry with Johnson and his pathetic response to the pandemic",39,56,283
KevinRampling,03/06/2022,Of course the war in #Ukraine is horrfic. The World Health Organization said 249 civilians had been killed so far and 553 injured as of 3 March. But let us not forget that on av 149 people PER DAY are dying from #Covid in the UK. All preventable death is a tragedy.,3,6,21
adamkokesh,03/06/2022,"Maybe #COVID policy was designed to censor dissent so when they want to start a war, all us anti-war folks are already shadow-banned or silenced.",7,21,77
_lokeshsharma,03/06/2022,"#Rajasthan #CoronaUpdate:

173 #Covid cases reported
55 from #Jaipur 
1 #Corona related death 
Today's #Recovered361
Active Cases are 2751

Recovery rate rises to 99.02%

Please stay alert & Keep wearing Mask
#StaySafeStayHealthy",20,237,360
Gionsi2,03/06/2022,#journalists that told you abuot #covid and #vaccines are the same that now tell you about #Putin and #Ukraina #war...,1,1,5
SarahMatMDMPH,03/06/2022,"I would like to see some “number needed to mask” calculations. 

How many people need to mask in indoor spaces to prevent one #COVID death? one episode of #LongCovid ?",2,1,13
BombsandBubbles,03/06/2022,"So it turns out that I am part of that 9% of cases that gets the COVID rash... Face, head, neck, torso, back, legs and arms are crazy crazy itchy! 

Aaarrrgghhhhhh!! 

#itchy #rash #covid #sunday #backtobed",4,1,4
GrumpyoldGould,03/06/2022,"Felt very tired & under the weather yesterday, developed cold symptoms & #Covid has arrived. Called 111 to ask about #PCR test collection & will have to wait for the #antiretrovirals Hopefully #Ocrevus has left me some B cells...",31,2,53
iNopeFox,03/03/2022,"There are masks, because #Republicans didn't want to let us stay home for a month and send us checks while #COVID passed.

There are masks, because the economy was more important.

And here we are, still living with masks and COVID, because of them.

#VoteOutEveryRepublican",1,1,4
AVanKleeckNC,03/03/2022,"When someone ridicules me for wearing a mask I say, 
""I wear it because I have a communicable airborne disease and I wear it protect you. But if you're cool with that, OK, I'll take it off."" Then I remove it and cough.
#COVID19 #COVIDIOTS #Covid_19 #CovidIsNotOver #COVID",2,1,5
marcfriedrich7,03/03/2022,Does anybody know what happened with #COVID?,203,129,1435
scottbudman,03/03/2022,"So far in 2022:

-California #Covid cases have fallen 95%
-California positive test rate down from 26% to 2.6% (today).

Source: 
@CAPublicHealth",5,20,69
awaiskiyani24,03/03/2022,"A senior police official of Rawalpindi Police broke into the #COVID bubble of #Rawalpindi Cricket stadium,during the #Australia , #Pakistan cricket practice session. PM and chairman #PCB must take notice of this lapse.

@ImranKhanPTI
 
@iramizraja",1,5,9
Kabuls,03/03/2022,What happened to #covid Anyone?,4,1,1
_lokeshsharma,03/03/2022,"#Rajasthan #CoronaUpdate:

174 #Covid cases reported
60 from #Jaipur 
2 #𝐂𝐨𝐫𝐨𝐧𝐚 related death 
Today's #Recovered693
Active Cases 3525

0 cases in 11 Districts
Recovery rate is 98.93%

Please stay alert & Keep wearing Mask
#StaySafeStayHealthy",12,244,374
appertunity,03/03/2022,"At work #covid no longer exists, droves of maskless phone operatives have been driven back to the office & now sit sat side by side doing a job they could easily do at home.",2,1,1
SidShirole,03/03/2022,"Starting 4th March #Covid Restrictions across #Pune have been relaxed. ( with #CAB) 
Highlights.
1) Offline Classes are now permitted across all age groups from playgroup to senior colleges.
2) All establishments including places of worship, Tourism, Malls etc. can open at 100%",10,48,315
SidShirole,03/03/2022,"#Maharashtra Great News !!
For the first time since 1st April 2020, there has been no #Covid related death reported in the entire state.",15,90,1098
B52Malmet,03/03/2022,"Many of President Biden’s new initiatives for dealing with #COVID will require authorization from Congress on spending. Given the political moment of deep division and derision we are in, will our elected officials get it together to protect us or not?",8,26,85
OffGuardian0,03/03/2022,"Oil and gas prices predictably going through the roof due to insane level of #sanctions against #Russia 

The #energycrisis we were supposed to get thru #covid we are now getting through #war 

But this time the protests are almost silent. 

What amazing happenstance",11,65,202
my_ADHD_life,03/03/2022,"I feel so much guilt taking time off work to get better from covid. 
Do others feel this type of guilt? 
#askadhd #covid #Neurodivergent",5,1,12
B52Malmet,03/02/2022,The White House has a new four part strategy for “the new normal” of living with #COVID. The main goals: protecting against and treating Covid-19; preparing for new variants; avoiding shutdowns and fighting the virus abroad.,11,81,461
LeukaemiaCareUK,03/02/2022,"Great news this morning, 
@sajidjavid
 has announced that 
@GOVUK
 will now continue free access to asymptomatic #COVID-19 tests for the vulnerable after the 1st April.
Small steps in the right direction, but we still have some burning questions.",2,12,30
latasrinivasan,03/02/2022,#covid clearly seems to have died with #UkraineRussiaWar,1,1,8
BathroomReports,03/02/2022,"Watching the rising #Covid numbers in WA and increasing hospitalisations is like witnessing a repeated tragedy. #WA, like the rest of AU at one point and also #NZ, have proven it's possible to control Covid ergo, eliminate it. #WearAMask #StaySafe #LongCovidIsReal #WorkersInquest",1,5,10
louise_q10,03/02/2022,"My teen was vaccinated in June. In January she caught the ""mild"" #covid . She now has Long covid and an asthma condition. Mask optional policys are abelist.  #WhatAboutUs 
@ISBEnews",2,6,30
realJedBevan,03/02/2022,"I can't blame people in #SouthAustralia for not wanting to vote #Liberal. But I urge everyone to preference the Liberal Party above #Labor. For all the Government's flaws, Steven Marshall is preferable as Premier over Malinauskas if you want to end #Covid restrictions & mandates",5,1,11
TOIMumbai,03/02/2022,#Maharashtra government eases restrictions imposed for #Covid control.,20,51,354
Am_Shai,02/28/2022,"Thanks to the #UkraineRussiaConflict all have forgotten #COVID 

And,

The experts on Covid are now the experts on Ukraine :)",8,5,190
IllLeaveMyMark,02/28/2022,I feel for weak minded people who have had the fear of god put up them for the last 2 years with #Covid now it’s happening again with the rhetoric of a nuclear war ffs the media in this country are bullies!,3,2,14
MiloTheDaxie,02/28/2022,Mums friend tested positive for COVID early hours has temperature aches headache so badly and cannot breathe….called their work & got told “the law has changed sorry you have to come in and we will try find you somewhere to work alone” #madness #COVID #stupidrules,10,3,22
DivnaHaslam,02/28/2022,"We are in #qldflood  & isolating as kids have #covid. Internet going to go down as tree brought cables down. Miss 3 just yelled at me “I’m not tired! You’re tired!”  
@Momademia
 . Many worse off but today is hard. #parentimg",1,1,19
Dr_Pushpika,02/28/2022,"Hello guys
After a long time since I got #Covid

I like to thank
who came to visit and brought delicious food and also food delivered. Friends who called & texted me, Even I said “ I’m ok” some called daily. 
I have no words to express my gratitude. 

Thank you so much
#Staysafe",3,1,7
grumpyMichael,02/28/2022,"As the Western Australian government rolls out FREE rapid antigen tests for all 
@MarkMcGowanMP
 proving to the rest of the country (and Phil Coorey 
@FinancialReview
) that WA are the REAL Gold standard #COVID managers",3,27,71
1ord_lucan,02/28/2022,Funny how the media this morning are talking about the #Ukraine children dying and are full of sympathy yet when they’re injecting kids for #covid and are dying and having side effects from the jabs! Not even a murmur! Nothing !! #fakemedia #turnthetvoff,2,4,21
Aaron_Derfel,02/28/2022,"Hi everyone: The Night Owl will be dropping a #COVID Twitter thread momentarily, revisiting the crisis in Hong Kong and the implications for Canada.",,2,29
MatthewHootonNZ,02/28/2022,"Just catching up with the news. So, 
@jacindaardern
 has pretty much adopted most of 
@dbseymour
’s #Covid policy then?",122,58,544
Nate_McMurray,02/28/2022,"Putin keeps his cabinet 50 feet away. He’s says it’s #covid related. I think it’s because someone would blow his head off. Did you see those videos if train stations in Poland? The border? If it was black and white, it would look exactly like WW2. 

This man should burn in hell",,4,22
RealJenOsborne,02/28/2022,"I'll return to #Ukraine, to report, maybe in two months. Have to finish my MA degree first. And I'm a bit worried about going abroad during #COVID, among the other risks present in this story. #conflict #war",2,1,16
gathwaegl,02/28/2022,Anyone else who has had #COVID struggling with fevers out of nowhere a month after? I’ve had fatigue and chest pains but fever is new. #longCOVID ?,3,1,3
AndrewDickson13,02/28/2022,"We need to talk about ‘initial infectious dose’ and #covid. New Zealanders, in my experience, tend to think that getting infected is a static thing – either you do or you don’t. But it is not like that at all. 1/",19,214,618
ClS1971,02/28/2022,Anyone remember #covid ? It’s great that #war trumps a #pandemic.,2,,1
Wendy_Bacon,02/28/2022,Just in case you’re wondering - there’re still more than 1000 #COVID patients in hospital in NSW today - 6 more people died. Haven’t heard about how  #nurses are going in their campaign for better conditions - have you? #nswpol,5,166,518
TanyaR_SLP,02/28/2022,"Doing a happy dance after seeing the 
@SpeechPathAus
 #SPAConf program with my name in it! I’m thrilled to present my thesis findings on #stroke care during #COVID #visitor restrictions. 
Thank you to 
@BeckSullivanSLP
 & 
@BronwynHemsley
, couldn’t have done it without your support",3,1,21
socialistsunday,02/28/2022,Whatever happened to #Partygate or #Covid or #RussiaReport or #FordeReport or #PrinceAndrew being a paedo?,12,78,229
MaggieDaWitch,02/28/2022,Thinking of all the people dying of #covid while warmongers murder more and politicians use climate collapse induced disasters for photo-ops.,1,4,24
iandonald_psych,02/28/2022,"“30 per cent more coronavirus deaths have occurred in the most deprived areas of England since the turn of the year, reinforcing concern that the poorest communities will carry the greatest burden of disease under the government’s plans for ‘living with #Covid’. #levellingup",2,29,35
ArchieObserving,02/28/2022,"I didn't realise #Putin is unvaccinated and has had #Covid-19. I assumed his advisors and oligarchs were physically distanced from him to prevent stabby surprises.
So, now I wonder if this narcissistic man, facing his mortality, might have Covid-related neurological damage also.",3,3,10
R1ch1e5,02/25/2022,"On every issue 
@BorisJohnson
 is mired in scandal, be it.
#Ukraine 
#Russia report
#Covid 
#Partygate
#Brexit
Lockdown
Donations
PPE
VIP lanes
Care homes
Cronyism
TestTrace
International law
Fraud
School meals
Journalism
Private life
Foreign Sec
Etc, Every time!

#Conservative",2,8,9
ActualAlexZ,02/25/2022,"BREAKING #COVID news: WASHINGTON (AP) - AP sources: CDC to ease COVID guidelines Friday, new criteria drop mask recommendation for most of US as cases ebb. 
@AP
 
@News12NJ",23,18,70
RNBlake,02/25/2022,"Today, as #covid restrictions end there are still unanswered questions which leave workers exposed and lacking support:  
Self isolation
Statutory sick pay
Testing 
These are all basic public health measures which support workers and the community.",1,1,6
cryptologist23,02/25/2022,"And just like that, #Covid is history",8,3,41
21stCenturyWire,02/25/2022,"'Unprovoked' is quickly becoming this war's version of the 'safe and effective' prepend #MSM used for the #Covid shots. It's all one big #propaganda script, adapted for the crisis of the moment that's too good to let go to waste.",5,18,52
BernieSpofforth,02/25/2022,"It took war to end wall to wall pandemic fear pushed by Sky and the BBC. Does this mean they’ve lost interest so now it’s over? 

The daily death wall has been replaced by flags. Utter ghouls. 

#UkraineRussia #COVID",58,149,1126
maneco1964,02/25/2022,Today is probably the first time in about 2 years that we have not heard about #COVID and the #pandemic in the media.,20,31,320
Nate_McMurray,02/25/2022,"“None of this happened while Trump was President”

Except, it did. He allowed Iran and North Korea to nuclearise. He had the worst economy in decades (even before #covid). He gave Putin everything. 

This is what it looks like when a dictator doesn’t get what he wants. Tantrum",15,21,92
JillGore8,02/25/2022,"21st century has been one hell of a sh*t one so far:

9/11
#Iraq
#Aghanistan
#BrexitRef
#Trump
#BorisJohnson
Hard Brexit
#Covid
#energycrisis 
#Inflation 
#RussianInvasion which could result in world war

And this is just the start of this century.",7,6,12
Aaron_Derfel,02/25/2022,Hi everyone: I will be dropping a #COVID Twitter thread momentarily. The topic: Exploiting the #pandemic to harm Ukraine even more during Putin's War.,1,5,43
quanahjoan,02/25/2022,Soldiers refusing  #COVID vaccinations are of no use. Nations around the world do not want soldiers potentially spreading COVID. COVID in the theater of war would be an additional horror. The Biden  administration’s requirement that all US forces must be vaccinated is essential.,2,7,27
d9monti,02/25/2022,"Another negative #COVID PCR test. I test regularly and encourage you to do the same. It’s always good to know your own status, but it also helps health authorities assess the level of #SARSCoV2 in the local population.",2,1,22
CryptoSammiee,02/25/2022,When will the world get a break? Fuel keeps being added to the fire. #COVID #UkraineRussiaConflict,3,1,5
ZeroCOVID4Ever,02/25/2022,The saddest thing about the Russia/Ukraine war is that it will distract humanity from the real war. The war against #COVID. The pandemic is not over.,27,15,184
DrRanj,02/24/2022,"Just to clarify:
#COVID rules for #NHS workers are different than the general population (check with your employer).
Masks are still required in healthcare settings and employees will have to isolate if they test positive.
Plus other precautions are still recommended.",36,141,1409
_lokeshsharma,02/24/2022,"#Rajasthan #CoronaUpdate:

944 #Covid cases reported
363 from #Jaipur
2 #Corona related death
Today's #Recovered1113 
Active Cases 6596

Recovery rate rises to 98.72%

Please remain alert 
Keep wearing Mask
#StaySafeStayHealthy",23,156,283
WesElyMD,02/24/2022,"1/ Are you “Up-to-Date” on your #COVID vaccine? 

There’s confusion about what’s the right answer to this question. 

Weigh in. I’d love to learn what you’re thinking. 

Will there need be a 4th dose of mRNA vaccines?",,,
Tinu,02/22/2022,"Community if you have had #COVID19 please link your blog post, thread or advice below.

We can try to hire some of our folks vet and curate the information into a downloadable #DisCo guide.

Just thinking about how I would have loved to have known #COVID Pneumonia was a thing.",21,80,134
its_johnmartin,02/22/2022,I hate to stray into the realm of the medics and scientists. But #COVID does seem a lot worse than the flu.,6,12,68
John_Cooper_QC,02/22/2022,"So tell me how this works: Yesterday Boris announces removal of #Covid restrictions. This morning, first thing, my GP texts me to say only urgent appointments as #Covid severely limiting GP availability? #NHS #boris #CovidIsNotOver",3,4,11
LisaPickard18,02/22/2022,"Today I need to think through what #Covid announcements mean for 
@Five_Lamps
 colleagues & customers. How without testing we protect vulnerable service users who receive vital home care services? Risk responsibility & cost plonked on charities again",1,1,2
tribalreigns,02/22/2022,Mandatory  mask wearing  should remain  in place and if not people  should still wear them out of respect for themselves and others.  #Covid,1,1,3
Katsikajules,02/22/2022,It really is telling how far right the UK government has gone when ministers use ‘The Sun’ to deliver their messages.  #COVID #BrexitOpportunities #MurdochGutterMedia,3,5,13
kirti_sd,02/22/2022,"A daily reminder that #covid #vaccination is VOLUNTARY.
You heard that right. VOLUNTARY",2,5,16
dozecat007,02/22/2022,"I see Vallance and Whitty have been sucessfully reprogrammed by the Cobra LSD Mind Re-Directing injection unit, judging by yesterday's #BorisJohnson #Covid mess #r4today""Follow the science"" becomes ""Let's Party"" 
@BBCr4today",1,3,3
